,0,1,2,3,4,5
Analytic,89.24,5.85,2.23,0.01,0.05,2.35
Clout,0.19,83.1,6.85,8.5,0.04,1.13
Authentic,24.63,62.88,5.59,5.29,0.17,1.17
Tone,80.13,7.67,0.04,1.26,10.49,0.23
WPS,17.15,30.58,2.78,49.4,0.06,0.02
Sixltr,64.97,5.32,19.42,1.29,8.12,0.86
Dic,42.19,0.0,54.26,0.32,2.93,0.19
